rank,field,family,question,unique_values,score,max_abs_lift,top_values_json
67,CONAGE,quota_classification,CONAGE,4,22.2027,0.2509,"[[""__MISSING__"", 250, 151, 0.604, 0.25087100893997444], [""3"", 266, 57, 0.21428571428571427, -0.13884327677431127], [""2"", 418, 124, 0.2966507177033493, -0.05647827335667627], [""1"", 632, 221, 0.34968354430379744, -0.003445446756228099]]"
68,q3r4,demographic_profile,,10,21.8789,0.4802,"[[""0"", 205, 120, 0.5853658536585366, 0.232236862598511], [""__MISSING__"", 1316, 402, 0.30547112462006076, -0.04765786643996478], [""10"", 12, 10, 0.8333333333333334, 0.4802043422733078], [""5"", 23, 15, 0.6521739130434783, 0.2990449219834527]]"
69,q42,demographic_profile,What is your position or title?,6,21.7855,0.3776,"[[""2"", 78, 57, 0.7307692307692307, 0.3776402397092052], [""4"", 103, 56, 0.5436893203883495, 0.19056032932832395], [""1"", 44, 28, 0.6363636363636364, 0.2832346453036108], [""__MISSING__"", 1316, 402, 0.30547112462006076, -0.04765786643996478], [""3"", 23, 10, 0.43478260869565216, 0.08165361763562662]]"
70,q11br4c4,equipment_ownership_use,,2,21.5104,0.1641,"[[""1"", 529, 100, 0.1890359168241966, -0.16409307423582895], [""0"", 1037, 453, 0.43683702989392476, 0.08370803883389921]]"
71,q19_2026r2,brand_funnel,,49,21.3509,0.5219,"[[""__MISSING__"", 342, 88, 0.2573099415204678, -0.09581904953955772], [""2"", 8, 7, 0.875, 0.5218710089399745], [""0"", 304, 133, 0.4375, 0.08437100893997446], [""8"", 11, 8, 0.7272727272727273, 0.37414373621270175], [""30"", 53, 13, 0.24528301886792453, -0.10784597219210101]]"
72,PROAGE,quota_classification,PROAGE,3,21.1232,0.3017,"[[""1"", 197, 129, 0.6548223350253807, 0.30169334396535513], [""__MISSING__"", 1316, 402, 0.30547112462006076, -0.04765786643996478], [""2"", 53, 22, 0.41509433962264153, 0.061965348562615985]]"
73,q11ar11c2,equipment_ownership_use,,2,20.6016,0.1955,"[[""1"", 401, 220, 0.5486284289276808, 0.19549943786765528], [""0"", 1165, 333, 0.28583690987124466, -0.06729208118878088]]"
74,POSSIBLEBRANDSr17,brand_funnel,,3,20.3767,0.2386,"[[""1"", 289, 171, 0.5916955017301038, 0.23856651067007822], [""0"", 1249, 376, 0.3010408326661329, -0.052088158393892636], [""__MISSING__"", 28, 6, 0.21428571428571427, -0.13884327677431127]]"
75,q18r11,brand_funnel,,6,20.1976,0.2275,"[[""2"", 390, 84, 0.2153846153846154, -0.13774437567541015], [""3"", 93, 54, 0.5806451612903226, 0.22751617023029708], [""5"", 330, 149, 0.45151515151515154, 0.09838616045512599], [""6"", 165, 81, 0.4909090909090909, 0.13778009984906536], [""1"", 342, 97, 0.28362573099415206, -0.06950326006587348]]"
76,conditionsAriens,fielding_technical,,2,20.1705,0.2386,"[[""1"", 289, 171, 0.5916955017301038, 0.23856651067007822], [""0"", 1277, 382, 0.29913860610806575, -0.05399038495195979]]"
